state,abbreviation,regex
Alabama,AL,.*alabama.*
Alaska,AK,.*alaska.*
Arizona,AZ,.*arizona.*
Arkansas,AR,.*arkansas.*
California,CA,.*california.*
Colorado,CO,.*colorado.*
Connecticut,CT,.*connecticut.*
Delaware,DE,.*delaware.*
Florida,FL,.*florida.*
Georgia,GA,.*georgia.*
Hawaii,HI,.*hawaii.*
Idaho,ID,.*idaho.*
Illinois,IL,.*illinois.*
Indiana,IN,.*indiana.*
Iowa,IA,.*iowa.*
Kansas,KS,.*kansas.*
Kentucky,KY,.*kentucky.*
Louisiana,LA,.*louisiana.*
Maine,ME,.*maine.*
Maryland,MD,.*maryland.*
Massachusetts,MA,.*massachusetts.*
Michigan,MI,.*michigan.*
Minnesota,MN,.*minnesota.*
Mississippi,MS,.*mississippi.*
Missouri,MO,.*missouri.*
Montana,MT,.*montana.*
Nebraska,NE,.*nebraska.*
Nevada,NV,.*nevada.*
New Hampshire,NH,.*new.hampshire.*
New Jersey,NJ,.*new.jersey.*
New Mexico,NM,.*new.mexico.*
New York,NY,.*new.york.*
North Carolina,NC,.*north.carolina.*
North Dakota,ND,.*north.dakota.*
Ohio,OH,.*ohio.*
Oklahoma,OK,.*oklahoma.*
Oregon,OR,.*oregon.*
Pennsylvania,PA,.*pennsylvania.*
Rhode Island,RI,.*rhode.island.*
South Carolina,SC,.*south.carolina.*
South Dakota,SD,.*south.dakota.*
Tennessee,TN,.*tennessee.*
Texas,TX,.*texas.*
Utah,UT,.*utah.*
Vermont,VT,.*vermont.*
Virginia,VA,.*virginia.*
Washington,WA,.*washington.*
West Virginia,WV,.*west.virginia.*
Wisconsin,WI,.*wisconsin.*
Wyoming,WY,.*wyoming.*
American Samoa,AS,.*american.samoa.*
District of Columbia,DC,.*district.of.columbia.*
Federated States of Micronesia,FM,.*federated.states.of.micronesia.*
Guam,GU,.*guam.*
Marshall Islands,MH,.*marshall.islands.*
Northern Mariana Islands,MP,.*northern.mariana.islands.*
Palau,PW,.*palau.*
Puerto Rico,PR,.*puerto.rico.*
Virgin Islands,VI,.*virgin.islands.*
Armed Forces Africa,AE,.*armed.forces.africa.*
Armed Forces Americas,AA,.*armed.forces.americas.*
Armed Forces Canada,AE,.*armed.forces.canada.*
Armed Forces Europe,AE,.*armed.forces.europe.*
Armed Forces Middle East,AE,.*armed.forces.middle.east.*
Armed Forces Pacific,AP,.*armed.forces.pacific.*
United States,US,^united.states.*
